data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8012301,854,BFO4460,4460,16-Feb-21,2021,1,Violence against civilians,Abduction/forced disappearance,Katiba Macina,JNIM: Group for Support of Islam and Muslims,2,Civilians (Burkina Faso),Farmers (Burkina Faso),7,27,Western Africa,Burkina Faso,Boucle du Mouhoun,Sourou,Toeni,Seme,13.5261,-2.9522,1,UNHCR,Other,"On 16 February 2021, presumed Katiba Macina (JNIM) militants abducted two male farmers in the village of Seme (Toeni, Sourou). The motivation for the abduction was reportedly that the wives of the two farmers did not abide to the dress codes imposed by the militants.",0,1622068034,BFA
8012305,854,BFO4360,4360,16-Feb-21,2021,1,Protests,Peaceful protest,Protesters (Burkina Faso),Farmers (Burkina Faso),6,,,0,60,Western Africa,Burkina Faso,Centre-Nord,Sanmatenga,Korsimoro,Raguitenga,12.8004,-1.1025,1,MinuteBf,New media,"On 16 February 2021, a number of villagers staged a demonstration in Raguitenga (Korsimoro, Sanmatenga). The villagers expressed their intention to withdraw from a city construction project and their refusal to cede farmland in exchange for compensation. [size=no report]",0,1622068034,BFA
8012545,854,BFO4430,4430,5-Feb-21,2021,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Burkina Faso),,3,Civilians (Burkina Faso),Health Workers (Burkina Faso),7,37,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,2,UNHCR,Other,"On 5 February 2021, unknown gunmen abducted the Gorgadji chief nurse on the road between Dori (Dori, Seno) and Gorgadji (Gorgadji, Seno). The chief nurse was released shortly after.",0,1622068035,BFA
8013351,854,BFO4279,4279,28-Dec-20,2020,1,Protests,Peaceful protest,Protesters (Burkina Faso),,6,,,0,60,Western Africa,Burkina Faso,Hauts-Bassins,Houet,Bobo-Dioulasso,Bobo-Dioulasso,11.1772,-4.2979,1,AIB (Burkina Faso); Burkina24,National,"On 28 December 2020, a number of residents staged a demonstration in Bobo-Dioulasso (Bobo-Dioulasso, Houet). The demonstrators denounced a project for which the major reportedly assigned real state companies to handle the allocation of land in the non loti neighborhood. [size=no report]",0,1622068037,BFA
8013526,854,BFO4269,4269,19-Dec-20,2020,1,Battles,Armed clash,Ponga Communal Militia (Burkina Faso),,4,Dirze Communal Militia (Burkina Faso),,4,44,Western Africa,Burkina Faso,Centre-Sud,Zoundweogo,Gomboussougou,Dirze,11.4025,-0.6025,2,Whatsapp; MinuteBf; Sidwaya,New media,"On 19 December 2020, villagers from Ponga (Zonse, Boulgou) abducted 23 villagers from Dirze (Gomboussougou, Zoundweogo) due to a protracted land dispute. Clashes with blade weapons ensued between the two villages and several people were wounded. Those abducted were released.",0,1622068037,BFA
8013728,854,BFO4223,4223,9-Dec-20,2020,1,Violence against civilians,Attack,Police Forces of Burkina Faso (2015-),,1,Civilians (Burkina Faso),Farmers (Burkina Faso),7,17,Western Africa,Burkina Faso,Centre,Kadiogo,Tanguen-Dassouri,Tanghin-Dassouri,12.275,-1.7177,2,Wakat Sera; Le Pays; Burkina24; Gulmu Info; Aujourd8; Radio Omega; Savane FM; Whatsapp; PANAPRESS; L'Observateur Paalga; Infowakat; MinuteBf; Sidwaya,New media-National,"On 9 December 2020, a policeman shot and killed a farmer at a checkpoint near Tanghin-Dassouri (Ouagadougou, Kadiogo).",1,1622068039,BFA
8013729,854,BFO4224,4224,9-Dec-20,2020,1,Riots,Violent demonstration,Rioters (Burkina Faso),,5,,,0,50,Western Africa,Burkina Faso,Centre,Kadiogo,Tanguen-Dassouri,Tanghin-Dassouri,12.275,-1.7177,1,Gulmu Info; Wakat Sera; Radio Omega; Whatsapp; L'Observateur Paalga; Savane FM; Infowakat; MinuteBf; Aujourd8; Sidwaya,New media-National,"On 9 December 2020, a number of residents staged a demonstration in Tanghin-Dassouri (Ouagadougou, Kadiogo), in reaction to the killing of a farmer at a police checkpoint. The demonstrators occupied the unmanned police station in the town, and barricaded the main road with debris and burned tires. [size=no report]",0,1622068039,BFA
8013823,854,BFO4291,4291,3-Dec-20,2020,1,Violence against civilians,Attack,Police Forces of Burkina Faso (2015-),,1,Civilians (Burkina Faso),Prisoners (Burkina Faso),7,17,Western Africa,Burkina Faso,Boucle du Mouhoun,Mouhoun,Dedougou,Souri,12.429,-3.5186,1,Actu Burkina; Le Faso; Infowakat; Fasozine,National,"On 3 December 2020, policemen arrested and severely tortured a male civilian in Souri (Dedougou, Mouhoun). The arrest came in the wake of a farmer demonstration against an urbanization project.",0,1622068040,BFA
8013844,854,BFO4290,4290,2-Dec-20,2020,1,Protests,Peaceful protest,Protesters (Burkina Faso),Farmers (Burkina Faso),6,,,0,60,Western Africa,Burkina Faso,Boucle du Mouhoun,Mouhoun,Dedougou,Souri,12.429,-3.5186,1,Actu Burkina; Infowakat; Fasozine; Le Faso,National,"On 2 December 2020, a number of farmers staged a demonstration in Souri (Dedougou, Mouhoun). The demonstrators denounced that the authorities did not keep their promises related to an urbanization project. [size=no report]",0,1622068040,BFA
8013949,854,BFO4205,4205,26-Nov-20,2020,2,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Burkina Faso),Farmers (Burkina Faso),7,27,Western Africa,Burkina Faso,Nord,Yatenga,Thiou,Thiou,13.8031,-2.6545,2,Whatsapp,New media,"Property destruction: Around 26 November 2020 (between 26 - 27 November), suspected JNIM militants destroyed farmland irrigation systems near Thiou (Thiou, Yatenga).",0,1622068040,BFA
