Year,Date,Time,Low Elev (ft),Date,Time,High Elev (ft),,,,,,,,,,,,,,,,,,,
1935,3-Feb,2400,673.5,31-Jul,2400,928.45,,,,,,,,,,,,,,,,,,,
1936,14-Apr,2400,905.2,10-Sep,2400,1025.87,,,,,,,,,,,,,,,,,,,
1937,5-Feb,2400,1021.9,28-Jul,2400,1102.88,,,,,,,,,,,,,,,,,,,
1938,17-Feb,1,1094.61,29-Jul,1,1173.56,,,,,,,,,,,,,,,,,,,
1939,18-Mar,1,1156.1,2-Jul,1,1183.5,,,,,,,,,,,,,,,,,,,
1940,5-Apr,1,1164.21,3-Jul,700,1182.21,,,,,,,,,,,,,,,,,,,
1941,16-Feb,2400,1166.74,30-Jul,730,1220.46,,,,,,,,,,,,,,,,,,,
1942,28-Mar,2400,1171.04,8-Jul,1200,1213.46,,,,,,,,,,,,,,,,,,,
1943,5-Apr,1900,1176.71,14-Jul,1200,1202.45,,,,,,,,,,,,,,,,,,,
1944,8-Apr,1900,1157.17,19-Jul,930,1200.36,,,,,,,,,,,,,,,,,,,
1945,26-Apr,2400,1146.54,21-Aug,430,1182.5,,,,,,,,,,,,,,,,,,,
1946,19-Apr,2100,1146.5,7-Jul,1500,1164.32,,,,,,,,,,,,,,,,,,,
1947,26-Apr,300,1133.9,2-Sep,600,1180.27,,,,,,,,,,,,,,,,,,,
1948,30-Mar,2100,1154.45,11-Jul,1800,1192.8,,,,,,,,,,,,,,,,,,,
1949,15-Apr,2400,1145.18,31-Jul,1800,1196.68,,,,,,,,,,,,,,,,,,,
1950,13-Apr,2400,1149.95,24-Jul,300,1177.66,,,,,,,,,,,,,,,,,,,
1951,11-May,2400,1141.19,13-Aug,1200,1169.01,,,,,,,,,,,,,,,,,,,
1952,3-Apr,2100,1133.24,17-Jul,900,1201.13,,,,,,,,,,,,,,,,,,,
1953,31-Dec,2400,1145.78,1-Jan,2400,1169.13,,,,,,,,,,,,,,,,,,,
1954,31-Dec,2400,1105.48,1-Jan,300,1145.83,,,,,,,,,,,,,,,,,,,
1955,22-Apr,2400,1089.39,7-Jul,600,1106.63,,,,,,,,,,,,,,,,,,,
1956,26-Apr,2100,1083.19,9-Jul,600,1116.84,,,,,,,,,,,,,,,,,,,
1957,20-Apr,900,1089.48,9-Sep,1200,1184.11,,,,,,,,,,,,,,,,,,,
1958,19-Apr,2400,1161,7-Jul,600,1205.93,,,,,,,,,,,,,,,,,,,
1959,31-Dec,1800,1167.11,1-Jan,600,1185.93,,,,,,,,,,,,,,,,,,,
1960,11-Mar,2400,1162.97,5-Jul,600,1184.19,,,,,,,,,,,,,,,,,,,
1961,18-May,1800,1152.78,2-Jan,600,1165.21,,,,,,,,,,,,,,,,,,,
1962,9-Feb,2400,1153.16,23-Jul,1200,1204.21,,,,,,,,,,,,,,,,,,,
1963,31-Dec,2400,1136.93,1-Jan,2400,1193.19,,,,,,,,,,,,,,,,,,,
1964,30-Dec,2400,1088.09,1-Jan,2400,1136.93,,,,,,,,,,,,,,,,,,,
1965,3-Apr,2400,1088.07,31-Dec,2400,1129.74,,,,,,,,,,,,,,,,,,,
1966,17-Sep,2400,1127.18,19-Feb,1200,1133.84,,,,,,,,,,,,,,,,,,,
1967,22-Nov,2400,1127.75,13-Feb,1200,1133.85,,,,,,,,,,,,,,,,,,,
1968,1-Jan,1,1129.84,31-Dec,2400,1139.65,,,,,,,,,,,,,,,,,,,
1969,16-Jan,2400,1139.38,31-Dec,2400,1152.5,,,,,,,,,,,,,,,,,,,
1970,20-Aug,2400,1150.39,21-Jan,1200,1154.18,,,,,,,,,,,,,,,,,,,
1971,2-Apr,2400,1148.05,31-Dec,2400,1160.13,,,,,,,,,,,,,,,,,,,
1972,25-May,2400,1153.97,31-Dec,2400,1168.35,,,,,,,,,,,,,,,,,,,
1973,1-Jan,1,1168.35,7-May,600,1187.01,,,,,,,,,,,,,,,,,,,
1974,15-Jun,600,1168.81,4-Feb,600,1180.23,,,,,,,,,,,,,,,,,,,
1975,29-May,1200,1173.61,14-Oct,600,1181.03,,,,,,,,,,,,,,,,,,,
1976,10-Oct,1200,1177.58,31-Dec,2400,1188.27,,,,,,,,,,,,,,,,,,,
1977,6-Jul,1200,1175.8,6-Feb,600,1193.82,,,,,,,,,,,,,,,,,,,
1978,1-Jan,2400,1180.82,31-Dec,2400,1193.31,,,,,,,,,,,,,,,,,,,
1979,1-Jan,2400,1193.37,26-Feb,600,1202.85,,,,,,,,,,,,,,,,,,,
1980,4-Jan,2400,1197.64,29-Sep,600,1205.05,,,,,,,,,,,,,,,,,,,
1981,11-Sep,1800,1192.44,18-Feb,600,1204.76,,,,,,,,,,,,,,,,,,,
1982,5-Aug,2400,1196.25,31-Dec,2400,1208.37,,,,,,,,,,,,,,,,,,,
1983,31-Jan,2400,1206.83,24-Jul,2200,1225.85,,,,,,,,,,,,,,,,,,,
1984,4-May,2400,1205.73,23-Jul,1200,1213.73,,,,,,,,,,,,,,,,,,,
1985,31-Dec,2400,1205.49,8-Jul,600,1214.36,,,,,,,,,,,,,,,,,,,
1986,24-Jan,2400,1201.42,2-Oct,2400,1213.2,,,,,,,,,,,,,,,,,,,
1987,17-Jun,2400,1205.6,12-Feb,2400,1210.83,,,,,,,,,,,,,,,,,,,
1988,29-Sep,2400,1199.14,28-Feb,2400,1211.82,,,,,,,,,,,,,,,,,,,
1989,30-Nov,2400,1189.02,26-Feb,600,1202.57,,,,,,,,,,,,,,,,,,,
1990,24-Dec,1200,1177.87,5-Mar,600,1191.88,,,,,,,,,,,,,,,,,,,
1991,24-Sep,2400,1172.7,24-Feb,2400,1180.19,,,,,,,,,,,,,,,,,,,
1992,21-Aug,2400,1173.39,24-Mar,2400,1180.55,,,,,,,,,,,,,,,,,,,
1993,1-Jan,2400,1176.9,12-Apr,2400,1193.75,,,,,,,,,,,,,,,,,,,
1994,30-Nov,2400,1175.67,27-Feb,2400,1190.98,,,,,,,,,,,,,,,,,,,
1995,1-Jan,100,1176.52,31-Dec,2000,1190.96,,,,,,,,,,,,,,,,,,,
1996,14-Aug,2000,1189.68,15-Apr,1100,1195.05,,,,,,,,,,,,,,,,,,,
1997,1-Jan,200,1194.36,31-Dec,1000,1214.65,,,,,,,,,,,,,,,,,,,
1998,29-May,2300,1211.37,15-Sep,1000,1215.95,,,,,,,,,,,,,,,,,,,
1999,30-Jun,2100,1206.4,31-Dec,2000,1213.96,,,,,,,,,,,,,,,,,,,
2000,13-Dec,2300,1195.67,10-Jan,1400,1214.14,,,,,,,,,,,,,,,,,,,
2001,20-Dec,2100,1177.18,6-Feb,900,1197.47,,,,,,,,,,,,,,,,,,,
